version,2.1.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,Bangladesh
info,gender,male
info,season,2005
info,date,2005/08/31
info,event,Bangladesh tour of Sri Lanka
info,match_number,1
info,venue,Sinhalese Sports Club Ground
info,city,Colombo
info,toss_winner,Bangladesh
info,toss_decision,field
info,player_of_match,DPMD Jayawardene
info,umpire,Asad Rauf
info,umpire,EAR de Silva
info,tv_umpire,PT Manuel
info,match_referee,CH Lloyd
info,winner,Sri Lanka
info,winner_runs,88
info,player,Sri Lanka,WU Tharanga
info,player,Sri Lanka,ST Jayasuriya
info,player,Sri Lanka,MS Atapattu
info,player,Sri Lanka,KC Sangakkara
info,player,Sri Lanka,DPMD Jayawardene
info,player,Sri Lanka,RP Arnold
info,player,Sri Lanka,TM Dilshan
info,player,Sri Lanka,WPUJC Vaas
info,player,Sri Lanka,M Muralitharan
info,player,Sri Lanka,MF Maharoof
info,player,Sri Lanka,CRD Fernando
info,player,Sri Lanka,UDU Chandana
info,player,Bangladesh,Javed Omar
info,player,Bangladesh,Shahriar Nafees
info,player,Bangladesh,Tushar Imran
info,player,Bangladesh,Mohammad Ashraful
info,player,Bangladesh,Habibul Bashar
info,player,Bangladesh,Aftab Ahmed
info,player,Bangladesh,Manjural Islam Rana
info,player,Bangladesh,Khaled Mashud
info,player,Bangladesh,Mohammad Rafique
info,player,Bangladesh,Syed Rasel
info,player,Bangladesh,Tapash Baisya
info,player,Bangladesh,Khaled Mahmud
info,registry,people,Aftab Ahmed,53bc7b84
info,registry,people,Asad Rauf,861606b7
info,registry,people,CH Lloyd,5b445db0
info,registry,people,CRD Fernando,342d8ade
info,registry,people,DPMD Jayawardene,d18f9182
info,registry,people,EAR de Silva,dc63f509
info,registry,people,Habibul Bashar,e74ad9ea
info,registry,people,Javed Omar,e15faa51
info,registry,people,KC Sangakkara,6b71e6cf
info,registry,people,Khaled Mahmud,0c8a1d51
info,registry,people,Khaled Mashud,ade071c5
info,registry,people,M Muralitharan,4ba44e19
info,registry,people,MF Maharoof,ab89348d
info,registry,people,MS Atapattu,8a686d30
info,registry,people,Manjural Islam Rana,e8d7b493
info,registry,people,Mohammad Ashraful,2bb09eb2
info,registry,people,Mohammad Rafique,7ff3fcaa
info,registry,people,PT Manuel,3a1373fd
info,registry,people,RP Arnold,cccdde80
info,registry,people,ST Jayasuriya,f233bbb4
info,registry,people,Shahriar Nafees,b9c225c2
info,registry,people,Syed Rasel,b743f01b
info,registry,people,TM Dilshan,5bdcdb72
info,registry,people,Tapash Baisya,bb1819fa
info,registry,people,Tushar Imran,b58af144
info,registry,people,UDU Chandana,434e36b1
info,registry,people,WPUJC Vaas,bcce309e
info,registry,people,WU Tharanga,7ed9fd56
