version,2.1.0
info,balls_per_over,6
info,team,Thailand
info,team,United Arab Emirates
info,gender,female
info,season,2017/18
info,date,2017/11/27
info,event,ICC Women's World Twenty20 Qualifying Series Asia Region
info,venue,Terdthai Cricket Ground
info,city,Bangkok
info,toss_winner,Thailand
info,toss_decision,bat
info,player_of_match,Nisha Ali
info,umpire,DN Subedi
info,umpire,Sarika Prasad
info,reserve_umpire,AK Rana
info,winner,Thailand
info,winner_runs,22
info,player,Thailand,N Chantam
info,player,Thailand,N Chaiwai
info,player,Thailand,N Boochatham
info,player,Thailand,R Padunglerd
info,player,Thailand,N Koncharoenkai
info,player,Thailand,C Sutthiruang
info,player,Thailand,S Tippoch
info,player,Thailand,W Liengprasert
info,player,Thailand,S Saengsakaorat
info,player,Thailand,S Saenya
info,player,Thailand,S Laomi
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,Roopa Nagraj
info,player,United Arab Emirates,P Jain
info,player,United Arab Emirates,Nisha Ali
info,player,United Arab Emirates,UCKA Dona
info,player,United Arab Emirates,NM Cherriath
info,player,United Arab Emirates,IS Mananelage
info,player,United Arab Emirates,S Venkataraman
info,player,United Arab Emirates,Chaya Mughal
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Humaira Tasneem
info,registry,people,AK Rana,562d74d0
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,Chaya Mughal,77b26349
info,registry,people,DN Subedi,fb0a571f
info,registry,people,ER Oza,fdc6b34d
info,registry,people,Humaira Tasneem,da22f2a2
info,registry,people,IS Mananelage,c270299f
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,NM Cherriath,cdaf3af3
info,registry,people,Nisha Ali,9d0332ee
info,registry,people,P Jain,c67fc85a
info,registry,people,R Padunglerd,8b6c33d0
info,registry,people,Roopa Nagraj,065c35fc
info,registry,people,S Laomi,4b15618c
info,registry,people,S Saengsakaorat,6214c0c6
info,registry,people,S Saenya,befa9863
info,registry,people,S Tippoch,9c4b58db
info,registry,people,S Venkataraman,8001a208
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,UCKA Dona,caa99fcb
info,registry,people,W Liengprasert,4dabe716
