version,2.1.0
info,balls_per_over,6
info,team,Ghana
info,team,Rwanda
info,gender,male
info,season,2021
info,date,2021/08/20
info,event,Ghana tour of Rwanda
info,match_number,4
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Ghana
info,toss_decision,bat
info,player_of_match,R Bakum
info,umpire,EH Dusabemungu
info,umpire,Vicky Prajapati
info,reserve_umpire,Gasana Christian
info,winner,Ghana
info,method,Awarded
info,players,Ghana,Amoluk Singh
info,players,Ghana,R Bakum
info,players,Ghana,KF Bakiweyem
info,players,Ghana,JK Vifah
info,players,Ghana,OH Agbomadzie
info,players,Ghana,MK Anafie
info,players,Ghana,Devender Singh
info,players,Ghana,TK Joseph
info,players,Ghana,G Bakiweyem
info,players,Ghana,KS Bagabena
info,players,Ghana,SK Awiah
info,players,Rwanda,E Dusingizimana
info,players,Rwanda,E Niyomugabo
info,players,Rwanda,O Tuyisenge
info,players,Rwanda,M Akayezu
info,players,Rwanda,C Rububagumya
info,players,Rwanda,K Irakoze
info,players,Rwanda,P Vekaria
info,players,Rwanda,S Samal
info,players,Rwanda,Bosco Tuyizere
info,players,Rwanda,D Uwimana
info,players,Rwanda,Z Bimenyimana
info,registry,people,Amoluk Singh,266473e2
info,registry,people,Bosco Tuyizere,3c370b92
info,registry,people,C Rububagumya,8088632c
info,registry,people,D Uwimana,1f8e97d7
info,registry,people,Devender Singh,68e21fb1
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Niyomugabo,2dcac6ff
info,registry,people,EH Dusabemungu,ba3b4b09
info,registry,people,G Bakiweyem,5fe3709e
info,registry,people,Gasana Christian,f5d91a1f
info,registry,people,JK Vifah,a1448a10
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,KF Bakiweyem,49fd9963
info,registry,people,KS Bagabena,1ce4f664
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,MK Anafie,6949f713
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,OH Agbomadzie,b38a9f73
info,registry,people,P Vekaria,b68b1633
info,registry,people,R Bakum,c74c583b
info,registry,people,S Samal,c7e3c349
info,registry,people,SK Awiah,bc3fc527
info,registry,people,TK Joseph,4fafd79a
info,registry,people,Vicky Prajapati,8926ed4e
info,registry,people,Z Bimenyimana,ba57fb08
