version,2.2.0
info,balls_per_over,6
info,team,Hungary
info,team,Czech Republic
info,gender,male
info,season,2022
info,date,2022/05/14
info,event,Valletta Cup
info,match_number,13
info,venue,Marsa Sports Club
info,city,Marsa
info,toss_winner,Hungary
info,toss_decision,bat
info,player_of_match,A Ashokan
info,umpire,S Harnal
info,umpire,T Wheeler
info,reserve_umpire,J Ghose Roy
info,match_referee,SN Anand
info,winner,Czech Republic
info,winner_wickets,7
info,player,Hungary,Khaibar Deldar
info,player,Hungary,Abhijeet Ahuja
info,player,Hungary,Zahir Mohammed
info,player,Hungary,Abhishek Ahuja
info,player,Hungary,HV Mandhyan
info,player,Hungary,A Kheterpal
info,player,Hungary,Ali Farasat
info,player,Hungary,S Ashwathnarayana
info,player,Hungary,AG Weligamage
info,player,Hungary,SA Mohandas
info,player,Hungary,BP Adapaka
info,player,Czech Republic,S Davizi
info,player,Czech Republic,Dylan Steyn
info,player,Czech Republic,A Ashokan
info,player,Czech Republic,S Wickramasekara
info,player,Czech Republic,Ritik Tomar
info,player,Czech Republic,Sazib Bhuiyan
info,player,Czech Republic,Divyendra Singh
info,player,Czech Republic,S Sengupta
info,player,Czech Republic,S Ramakrishnan
info,player,Czech Republic,Naveed Ahmed
info,player,Czech Republic,SJ Patel
info,registry,people,A Ashokan,9244df4b
info,registry,people,A Kheterpal,2deb4082
info,registry,people,AG Weligamage,747209e0
info,registry,people,Abhijeet Ahuja,b91083bd
info,registry,people,Abhishek Ahuja,65cf74b4
info,registry,people,Ali Farasat,5845b99b
info,registry,people,BP Adapaka,e6082b10
info,registry,people,Divyendra Singh,7f122e0b
info,registry,people,Dylan Steyn,ff2b190e
info,registry,people,HV Mandhyan,11f56b14
info,registry,people,J Ghose Roy,ecef5677
info,registry,people,Khaibar Deldar,032c7eab
info,registry,people,Naveed Ahmed,87609cbb
info,registry,people,Ritik Tomar,6de51a8e
info,registry,people,S Ashwathnarayana,8f8d30be
info,registry,people,S Davizi,5787be00
info,registry,people,S Harnal,756fe781
info,registry,people,S Ramakrishnan,b0f5175e
info,registry,people,S Sengupta,da39f141
info,registry,people,S Wickramasekara,a9a09cb8
info,registry,people,SA Mohandas,8b0b3bba
info,registry,people,SJ Patel,6a091f62
info,registry,people,SN Anand,ab3d6059
info,registry,people,Sazib Bhuiyan,e5464794
info,registry,people,T Wheeler,f4d1ecae
info,registry,people,Zahir Mohammed,7c38942a
