version,2.1.0
info,balls_per_over,6
info,team,Karachi Kings
info,team,Islamabad United
info,gender,male
info,season,2016/17
info,date,2017/03/01
info,event,Pakistan Super League
info,venue,Sharjah Cricket Stadium
info,city,Sharjah
info,toss_winner,Islamabad United
info,toss_decision,field
info,player_of_match,Imad Wasim
info,umpire,REJ Martinesz
info,umpire,Shozab Raza
info,reserve_umpire,Ahmed Shahab
info,tv_umpire,Ahsan Raza
info,match_referee,RS Mahanama
info,winner,Karachi Kings
info,winner_runs,44
info,player,Karachi Kings,Babar Azam
info,player,Karachi Kings,CH Gayle
info,player,Karachi Kings,KC Sangakkara
info,player,Karachi Kings,Shoaib Malik
info,player,Karachi Kings,RS Bopara
info,player,Karachi Kings,KA Pollard
info,player,Karachi Kings,Imad Wasim
info,player,Karachi Kings,Sohail Khan
info,player,Karachi Kings,Mohammad Amir
info,player,Karachi Kings,Usama Mir
info,player,Karachi Kings,Usman Shinwari
info,player,Islamabad United,DR Smith
info,player,Islamabad United,Asif Ali
info,player,Islamabad United,BJ Haddin
info,player,Islamabad United,Misbah-ul-Haq
info,player,Islamabad United,SR Watson
info,player,Islamabad United,Shadab Khan
info,player,Islamabad United,N Pooran
info,player,Islamabad United,Amad Butt
info,player,Islamabad United,Mohammad Sami
info,player,Islamabad United,Rumman Raees
info,player,Islamabad United,Mohammad Irfan
info,registry,people,Ahmed Shahab,86a1918c
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Amad Butt,c6a1b1bb
info,registry,people,Asif Ali,0a4736eb
info,registry,people,BJ Haddin,b0c772ee
info,registry,people,Babar Azam,8a75e999
info,registry,people,CH Gayle,db584dad
info,registry,people,DR Smith,35205dfc
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,KA Pollard,a757b0d8
info,registry,people,KC Sangakkara,6b71e6cf
info,registry,people,Misbah-ul-Haq,7eae4418
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,Mohammad Irfan,a8e3170f
info,registry,people,Mohammad Sami,68ddabdb
info,registry,people,N Pooran,3241e3fd
info,registry,people,REJ Martinesz,140cdf29
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,RS Mahanama,57910393
info,registry,people,Rumman Raees,1c790f4f
info,registry,people,SR Watson,4329fbb5
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shoaib Malik,64c34cd0
info,registry,people,Shozab Raza,153c67dc
info,registry,people,Sohail Khan,5af743d0
info,registry,people,Usama Mir,6dd8b88c
info,registry,people,Usman Shinwari,f0e722e0
