version,2.1.0
info,balls_per_over,6
info,team,India
info,team,South Africa
info,gender,male
info,season,2015/16
info,date,2015/10/18
info,event,South Africa in India ODI Series
info,match_number,3
info,venue,Saurashtra Cricket Association Stadium
info,city,Rajkot
info,toss_winner,South Africa
info,toss_decision,bat
info,player_of_match,M Morkel
info,umpire,Aleem Dar
info,umpire,C Shamshuddin
info,reserve_umpire,Nitin Menon
info,tv_umpire,CK Nandan
info,match_referee,BC Broad
info,winner,South Africa
info,winner_runs,18
info,player,India,RG Sharma
info,player,India,S Dhawan
info,player,India,V Kohli
info,player,India,MS Dhoni
info,player,India,SK Raina
info,player,India,AM Rahane
info,player,India,AR Patel
info,player,India,Harbhajan Singh
info,player,India,B Kumar
info,player,India,MM Sharma
info,player,India,A Mishra
info,player,South Africa,Q de Kock
info,player,South Africa,DA Miller
info,player,South Africa,HM Amla
info,player,South Africa,F du Plessis
info,player,South Africa,AB de Villiers
info,player,South Africa,JP Duminy
info,player,South Africa,F Behardien
info,player,South Africa,DW Steyn
info,player,South Africa,K Rabada
info,player,South Africa,Imran Tahir
info,player,South Africa,M Morkel
info,registry,people,A Mishra,6b19d823
info,registry,people,AB de Villiers,c4487b84
info,registry,people,AM Rahane,29e95537
info,registry,people,AR Patel,2e171977
info,registry,people,Aleem Dar,f02778d1
info,registry,people,B Kumar,2e81a32d
info,registry,people,BC Broad,d6a7dd38
info,registry,people,C Shamshuddin,0f9d921b
info,registry,people,CK Nandan,012de9c4
info,registry,people,DA Miller,d67d5f00
info,registry,people,DW Steyn,8fd1a8f5
info,registry,people,F Behardien,dce2019b
info,registry,people,F du Plessis,3355b542
info,registry,people,HM Amla,e798611a
info,registry,people,Harbhajan Singh,8b5b6769
info,registry,people,Imran Tahir,acee4cc4
info,registry,people,JP Duminy,2e8994e7
info,registry,people,K Rabada,e62dd25d
info,registry,people,M Morkel,5bb5a915
info,registry,people,MM Sharma,759ac88f
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Q de Kock,372455c4
info,registry,people,RG Sharma,740742ef
info,registry,people,S Dhawan,0a476045
info,registry,people,SK Raina,1dc12ab9
info,registry,people,V Kohli,ba607b88
