version,2.1.0
info,balls_per_over,6
info,team,Pakistan
info,team,South Africa
info,gender,male
info,season,2013/14
info,date,2013/11/06
info,event,Pakistan v South Africa ODI Series
info,match_number,3
info,venue,Sheikh Zayed Stadium
info,city,Abu Dhabi
info,toss_winner,South Africa
info,toss_decision,bat
info,player_of_match,F du Plessis
info,umpire,Ahsan Raza
info,umpire,RK Illingworth
info,reserve_umpire,Zameer Haider
info,tv_umpire,SJ Davis
info,match_referee,RS Madugalle
info,winner,South Africa
info,winner_runs,68
info,player,Pakistan,Mohammad Hafeez
info,player,Pakistan,Ahmed Shehzad
info,player,Pakistan,Umar Amin
info,player,Pakistan,Misbah-ul-Haq
info,player,Pakistan,Asad Shafiq
info,player,Pakistan,Umar Akmal
info,player,Pakistan,Shahid Afridi
info,player,Pakistan,Sohail Tanvir
info,player,Pakistan,Wahab Riaz
info,player,Pakistan,Saeed Ajmal
info,player,Pakistan,Mohammad Irfan
info,player,South Africa,HM Amla
info,player,South Africa,Q de Kock
info,player,South Africa,F du Plessis
info,player,South Africa,JP Duminy
info,player,South Africa,AB de Villiers
info,player,South Africa,DA Miller
info,player,South Africa,R McLaren
info,player,South Africa,DW Steyn
info,player,South Africa,M Morkel
info,player,South Africa,LL Tsotsobe
info,player,South Africa,Imran Tahir
info,registry,people,AB de Villiers,c4487b84
info,registry,people,Ahmed Shehzad,f8fd6e3f
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Asad Shafiq,50250426
info,registry,people,DA Miller,d67d5f00
info,registry,people,DW Steyn,8fd1a8f5
info,registry,people,F du Plessis,3355b542
info,registry,people,HM Amla,e798611a
info,registry,people,Imran Tahir,acee4cc4
info,registry,people,JP Duminy,2e8994e7
info,registry,people,LL Tsotsobe,12bffe91
info,registry,people,M Morkel,5bb5a915
info,registry,people,Misbah-ul-Haq,7eae4418
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,Mohammad Irfan,a8e3170f
info,registry,people,Q de Kock,372455c4
info,registry,people,R McLaren,c654af19
info,registry,people,RK Illingworth,20672246
info,registry,people,RS Madugalle,766b5798
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,Saeed Ajmal,05d74535
info,registry,people,Shahid Afridi,0dc00542
info,registry,people,Sohail Tanvir,64d43928
info,registry,people,Umar Akmal,fd2bf2a0
info,registry,people,Umar Amin,3029e282
info,registry,people,Wahab Riaz,b3118300
info,registry,people,Zameer Haider,5537565f
