version,2.2.0
info,balls_per_over,6
info,team,Norway
info,team,France
info,gender,male
info,season,2021
info,date,2021/08/07
info,event,Germany T20 Tri-Series
info,match_number,5
info,venue,Bayer Uerdingen Cricket Ground
info,city,Krefeld
info,toss_winner,France
info,toss_decision,field
info,player_of_match,Sher Sahak
info,umpire,J Flannery
info,umpire,Rizwan Akram
info,reserve_umpire,M Jameson
info,winner,Norway
info,winner_runs,3
info,player,Norway,E Ul Haq
info,player,Norway,Raza Iqbal
info,player,Norway,Wahidullah Sahak
info,player,Norway,D Abeyrathna
info,player,Norway,Bilal Safdar
info,player,Norway,Sher Sahak
info,player,Norway,Usman Arif (2)
info,player,Norway,Faizan Mumtaz
info,player,Norway,S Waqas Ahmed
info,player,Norway,Vinay Ravi
info,player,Norway,P Bhart
info,player,France,U Shahid
info,player,France,Virk Ali
info,player,France,Usman Khan
info,player,France,A Johnmary
info,player,France,Rahmatullah Mangal
info,player,France,Noman Amjad
info,player,France,Jubaid Ahamed
info,player,France,L Canessane
info,player,France,HA Jackson
info,player,France,Dawood Ahmadzai
info,player,France,Ibrahim Jabarkhel
info,registry,people,A Johnmary,e64c35df
info,registry,people,Bilal Safdar,1c4161b3
info,registry,people,D Abeyrathna,ee17d329
info,registry,people,Dawood Ahmadzai,951686f5
info,registry,people,E Ul Haq,3559290a
info,registry,people,Faizan Mumtaz,6d440f4b
info,registry,people,HA Jackson,ee40679e
info,registry,people,Ibrahim Jabarkhel,c311564c
info,registry,people,J Flannery,22431c5a
info,registry,people,Jubaid Ahamed,ea5e0599
info,registry,people,L Canessane,72a4c3b2
info,registry,people,M Jameson,bdf1ffe3
info,registry,people,Noman Amjad,c079c66a
info,registry,people,P Bhart,0daf3ffc
info,registry,people,Rahmatullah Mangal,ec106638
info,registry,people,Raza Iqbal,eee46f77
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,S Waqas Ahmed,fb27d38c
info,registry,people,Sher Sahak,8299b9a2
info,registry,people,U Shahid,2a853aa5
info,registry,people,Usman Arif,fccc2d5a
info,registry,people,Usman Khan,e8a552ef
info,registry,people,Vinay Ravi,9c181b99
info,registry,people,Virk Ali,f7f7bee0
info,registry,people,Wahidullah Sahak,6913e38e
