version,2.2.0
info,balls_per_over,6
info,team,Afghanistan
info,team,Netherlands
info,gender,male
info,season,2021/22
info,date,2022/01/25
info,event,ICC Men's Cricket World Cup Super League
info,match_number,3
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,Afghanistan
info,toss_decision,bat
info,player_of_match,Najibullah Zadran
info,umpire,Ahmed Shah Durrani
info,umpire,Ahmed Shah Pakteen
info,reserve_umpire,Izatullah Safi
info,tv_umpire,Bismillah Shinwari
info,match_referee,WC Labrooy
info,winner,Afghanistan
info,winner_runs,75
info,player,Afghanistan,Rahmanullah Gurbaz
info,player,Afghanistan,Riaz Hassan
info,player,Afghanistan,Rahmat Shah
info,player,Afghanistan,Hashmatullah Shahidi
info,player,Afghanistan,Najibullah Zadran
info,player,Afghanistan,Azmatullah Omarzai
info,player,Afghanistan,Rashid Khan
info,player,Afghanistan,Mujeeb Ur Rahman
info,player,Afghanistan,Qais Ahmad
info,player,Afghanistan,Fareed Ahmad
info,player,Afghanistan,Fazalhaq Farooqi
info,player,Netherlands,SA Edwards
info,player,Netherlands,CN Ackermann
info,player,Netherlands,PM Seelaar
info,player,Netherlands,BHG Gorlee
info,player,Netherlands,BFW de Leede
info,player,Netherlands,Saqib Zulfiqar
info,player,Netherlands,A Dutt
info,player,Netherlands,C Floyd
info,player,Netherlands,PRP Boissevain
info,player,Netherlands,VJ Kingma
info,player,Netherlands,BD Glover
info,registry,people,A Dutt,803dbf1d
info,registry,people,Ahmed Shah Durrani,af23265a
info,registry,people,Ahmed Shah Pakteen,43602937
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,BD Glover,0dbe27b8
info,registry,people,BFW de Leede,fc4375ef
info,registry,people,BHG Gorlee,9bce9dfe
info,registry,people,Bismillah Shinwari,cae815a0
info,registry,people,C Floyd,527c2dab
info,registry,people,CN Ackermann,e734d090
info,registry,people,Fareed Ahmad,67b7bad4
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,Hashmatullah Shahidi,c2a46cb4
info,registry,people,Ikram Alikhil,f67c958d
info,registry,people,Izatullah Safi,0429e73e
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,Najibullah Zadran,1212cbec
info,registry,people,PM Seelaar,abbdca1a
info,registry,people,PRP Boissevain,a300e810
info,registry,people,Qais Ahmad,8d5d991e
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rahmat Shah,f9c29fcd
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Riaz Hassan,33f8789e
info,registry,people,SA Edwards,b59db04f
info,registry,people,Saqib Zulfiqar,5d38476c
info,registry,people,VJ Kingma,3a7ea906
info,registry,people,WC Labrooy,29d4e29b
