version,2.1.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Perth Scorchers
info,gender,female
info,season,2020/21
info,date,2020/11/01
info,event,Women's Big Bash League
info,match_number,13
info,venue,Drummoyne Oval
info,city,Sydney
info,toss_winner,Perth Scorchers
info,toss_decision,field
info,umpire,M Qureshi
info,umpire,TJ Matibiri
info,match_referee,Kent Hannam
info,outcome,no result
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,SR Taylor
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,KM Mack
info,player,Adelaide Strikers,TJ McPharlin
info,player,Adelaide Strikers,SJ Coyte
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,D Brown
info,player,Perth Scorchers,SFM Devine
info,player,Perth Scorchers,BL Mooney
info,player,Perth Scorchers,NE Bolton
info,player,Perth Scorchers,H Graham
info,player,Perth Scorchers,C Piparo
info,player,Perth Scorchers,M Banting
info,player,Perth Scorchers,S Glenn
info,player,Perth Scorchers,JL Barsby
info,player,Perth Scorchers,P Cleary
info,player,Perth Scorchers,T Peschel
info,player,Perth Scorchers,LR Down
info,registry,people,A Wellington,9b3bcca4
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,C Piparo,276f3dde
info,registry,people,D Brown,2e81be88
info,registry,people,H Graham,99812d10
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,KM Mack,ef13bd20
info,registry,people,Kent Hannam,8cc171e7
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,LR Down,19147fe0
info,registry,people,M Banting,90eb1818
info,registry,people,M Penna,36453b99
info,registry,people,M Qureshi,cf34fbef
info,registry,people,ML Schutt,17608a6f
info,registry,people,NE Bolton,dd883071
info,registry,people,P Cleary,507acf2e
info,registry,people,S Glenn,b34e0c77
info,registry,people,SFM Devine,de69af96
info,registry,people,SJ Coyte,a5f488bc
info,registry,people,SR Taylor,92cf79a8
info,registry,people,T Peschel,923402d8
info,registry,people,TJ Matibiri,4a3132b1
info,registry,people,TJ McPharlin,595e1ee7
info,registry,people,TM McGrath,ca5acfa4
