version,2.1.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Zimbabwe
info,gender,male
info,season,2008/09
info,date,2009/01/10
info,event,Tri-Nation Tournament in Bangladesh
info,match_number,1
info,venue,Shere Bangla National Stadium
info,city,Mirpur
info,toss_winner,Bangladesh
info,toss_decision,field
info,player_of_match,E Chigumbura
info,umpire,BR Doctrove
info,umpire,Nadir Shah
info,reserve_umpire,Enamul Haque
info,tv_umpire,AFM Akhtaruddin
info,match_referee,AG Hurst
info,winner,Zimbabwe
info,winner_runs,38
info,player,Bangladesh,Tamim Iqbal
info,player,Bangladesh,Junaid Siddique
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Mohammad Ashraful
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Raqibul Hasan
info,player,Bangladesh,Mehrab Hossain jnr
info,player,Bangladesh,Naeem Islam
info,player,Bangladesh,Mashrafe Mortaza
info,player,Bangladesh,Mahbubul Alam
info,player,Bangladesh,Nazmul Hossain
info,player,Zimbabwe,H Masakadza
info,player,Zimbabwe,V Sibanda
info,player,Zimbabwe,S Matsikenyeri
info,player,Zimbabwe,T Taibu
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,KM Dabengwa
info,player,Zimbabwe,E Chigumbura
info,player,Zimbabwe,P Utseya
info,player,Zimbabwe,RW Price
info,player,Zimbabwe,T Mupariwa
info,player,Zimbabwe,EC Rainsford
info,registry,people,AFM Akhtaruddin,b786b38f
info,registry,people,AG Hurst,ad7945c6
info,registry,people,BR Doctrove,cbebf805
info,registry,people,E Chigumbura,d2babdd5
info,registry,people,EC Rainsford,f771a151
info,registry,people,Enamul Haque,2ae9be7f
info,registry,people,H Masakadza,31fbf891
info,registry,people,Junaid Siddique,62e203d4
info,registry,people,KM Dabengwa,df08c69e
info,registry,people,Mahbubul Alam,5284c884
info,registry,people,Mashrafe Mortaza,e186f49c
info,registry,people,Mehrab Hossain jnr,86cd782f
info,registry,people,Mohammad Ashraful,2bb09eb2
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,Nadir Shah,3515389d
info,registry,people,Naeem Islam,02e83ac5
info,registry,people,Nazmul Hossain,5e5eab39
info,registry,people,P Utseya,9de271ef
info,registry,people,RW Price,67af6f81
info,registry,people,Raqibul Hasan,17efdeb8
info,registry,people,Rubel Hossain,f56cd097
info,registry,people,S Matsikenyeri,e7ba1233
info,registry,people,SC Williams,afe57f7a
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,T Mupariwa,21bf71ab
info,registry,people,T Taibu,75de770f
info,registry,people,Tamim Iqbal,3b041a12
info,registry,people,V Sibanda,0fdabe05
