version,2.2.0
info,balls_per_over,6
info,team,Norway
info,team,Germany
info,gender,male
info,season,2021
info,date,2021/08/08
info,event,Germany T20 Tri-Series
info,venue,Bayer Uerdingen Cricket Ground
info,city,Krefeld
info,toss_winner,Norway
info,toss_decision,bat
info,player_of_match,Sahir Naqash
info,umpire,M Jameson
info,umpire,Rizwan Akram
info,winner,Germany
info,winner_wickets,6
info,method,D/L
info,player,Norway,E Ul Haq
info,player,Norway,Raza Iqbal
info,player,Norway,Wahidullah Sahak
info,player,Norway,D Abeyrathna
info,player,Norway,Bilal Safdar
info,player,Norway,Sher Sahak
info,player,Norway,Usman Arif (2)
info,player,Norway,Faizan Mumtaz
info,player,Norway,Vinay Ravi
info,player,Norway,S Waqas Ahmed
info,player,Norway,P Bhart
info,player,Germany,VB Chikkannaiah
info,player,Germany,Abdul-Shakoor Rahimzei
info,player,Germany,Talha Khan
info,player,Germany,H Singh
info,player,Germany,V Ganesan
info,player,Germany,Sahir Naqash
info,player,Germany,Ghulam Ahmadi
info,player,Germany,H Srinivasan
info,player,Germany,SVE Bharathi
info,player,Germany,Sajid Liaqat
info,player,Germany,Nooruddin Mujadady
info,registry,people,Abdul-Shakoor Rahimzei,e45810ed
info,registry,people,Bilal Safdar,1c4161b3
info,registry,people,D Abeyrathna,ee17d329
info,registry,people,E Ul Haq,3559290a
info,registry,people,Faizan Mumtaz,6d440f4b
info,registry,people,Ghulam Ahmadi,2dfe0612
info,registry,people,H Singh,8209da53
info,registry,people,H Srinivasan,300bdcbb
info,registry,people,M Jameson,bdf1ffe3
info,registry,people,Nooruddin Mujadady,fcd92ab0
info,registry,people,P Bhart,0daf3ffc
info,registry,people,Raza Iqbal,eee46f77
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,S Waqas Ahmed,fb27d38c
info,registry,people,SVE Bharathi,6a63c29c
info,registry,people,Sahir Naqash,352e589f
info,registry,people,Sajid Liaqat,b1b99a1a
info,registry,people,Sher Sahak,8299b9a2
info,registry,people,Talha Khan,8e5a1a7a
info,registry,people,Usman Arif,fccc2d5a
info,registry,people,V Ganesan,baa7dd37
info,registry,people,VB Chikkannaiah,8e81b773
info,registry,people,Vinay Ravi,9c181b99
info,registry,people,Wahidullah Sahak,6913e38e
